resource name	dataset name	description	data type	data group	association	attribute type	attribute group
Achilles	Achilles Cell Line Gene Essentiality Profiles	fitness scores for cell lines following single gene knockdowns	phenotyping	disease or phenotype associations	gene-cell associations by sensitivity of cell line to gene knockdown	cell	cell or tissue
Allen Brain Atlas	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	mRNA expression profiles for 6 adult human brain tissue samples measured by microarray spanning ~300 brain structures	gene expression microarray	transcriptomics	gene-tissue sample associations by differential expression of gene across tissue samples	tissue sample	cell or tissue
Allen Brain Atlas	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	mRNA expression profiles for adult mouse brain tissues measured by in-situ hybridization spanning ~2000 anatomically defined brain structures	gene expression in situ hybridization	transcriptomics	gene-tissue associations by differential expression of gene across tissues	tissue	cell or tissue
Allen Brain Atlas	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	mRNA expression profiles for human brain tissue samples measured by microarray spanning 27 time points and 26 brain structures	gene expression microarray	transcriptomics	gene-tissue sample associations by differential expression of gene across tissue samples	tissue	cell or tissue
Allen Brain Atlas	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	mRNA expression profiles for human brain tissue samples measured by RNA-seq spanning 31 time points and 26 brain structures	gene expression microarray	transcriptomics	gene-tissue sample associations by differential expression of gene across tissue samples	tissue sample	cell or tissue
Allen Brain Atlas	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	mRNA expression profiles for 4 human prenatal brain tissue samples measured by microarray spanning 4 time points and ~300 brain structures	gene expression microarray	transcriptomics	gene-tissue sample associations by differential expression of gene across tissue samples	tissue	cell or tissue
Biocarta	Biocarta Pathways	sets of proteins participating in pathways	literature curation	structural or functional annotations	gene-pathway associations from curated pathways	pathway	functional term, phrase or reference
BioGPS	BioGPS Cell Line Gene Expression Profiles	mRNA expression profiles for the NCI-60 panel of cancer cell lines measured by microarray	gene expression microarray	transcriptomics	gene-cell associations by differential expression of gene across cell lines	cell	cell or tissue
BioGPS	BioGPS Human Cell and Tissue Gene Expression Profiles	mRNA expression profiles for human tissues and cell lines measured by microarray	gene expression microarray	transcriptomics	gene-cell or tissue associations by differential expression of gene across cell lines/tissues	cell or tissue	cell or tissue
BioGPS	BioGPS Mouse Cell and Tissue Gene Expression Profiles	mRNA expression profiles for mouse tissues and cell lines measured by microarray	gene expression microarray	transcriptomics	gene-cell or tissue associations by differential expression of gene across cell lines/tissues	cell or tissue	cell or tissue
Biological General Repository of Interaction Datasets	BioGRID Protein-Protein Interactions	protein-protein interactions from low-throughput or high-throughput studies	data aggregation	physical interactions	gene-gene associations from low-throughput or high-throughput protein-protein interaction data	gene	gene
Biomolecular Interaction Network Database	BIND Biomolecular Interactions	biomolecular interactions from low-throughput or high-throughput studies	data aggregation	physical interactions	gene-gene associations from low-throughput or high-throughput protein-protein interaction data	gene	gene
Cancer Cell Line Encyclopedia	CCLE Cell Line Gene CNV Profiles	gene-level copy number variation profiles for cancer cell lines measured by SNP microarray	copy number variation microarray	genomics	gene-cell associations by copy number variation of gene across cell lines	cell	cell or tissue
Cancer Cell Line Encyclopedia	CCLE Cell Line Gene Expression Profiles	mRNA expression profiles for cancer cell lines measured by microarray	gene expression microarray	transcriptomics	gene-cell associations by differential expression of gene across cell lines	cell	cell or tissue
Cancer Cell Line Encyclopedia	CCLE Cell Line Gene Mutation Profiles	gene-level mutation profiles for cancer cell lines measured by hybrid capture sequencing	gene mutation hybrid capture sequencing	genomics	gene-cell associations by mutation of gene in cell line	cell	cell or tissue
Catalogue of Somatic Mutations In Cancer	COSMIC Cell Line Gene CNV Profiles	gene-level copy number variation profiles for cancer cell lines measured by SNP microarray	copy number variation microarray	genomics	gene-cell associations by copy number variation of gene across cell lines	cell	cell or tissue
Catalogue of Somatic Mutations In Cancer	COSMIC Cell Line Gene Mutation Profiles	gene mutations in cancer cell lines from low-throughput or high-throughput studies	data aggregation	genomics	gene-cell associations by mutation of gene in cell line	cell	cell or tissue
ChIP-X Enrichment Analysis	CHEA Transcription Factor Binding Site Profiles	transcription factor binding site profiles from published ChIP-chip, ChIP-seq, and other transcription factor functional studies	data aggregation	genomics	gene-transcription factor binding site profile associations from low-throughput or high-throughput transcription factor functional studies	transcription factor binding site profile	molecular profile
ChIP-X Enrichment Analysis	CHEA Transcription Factor Targets	target genes of transcription factors from published ChIP-chip, ChIP-seq, and other transcription factor binding site profiling studies	data aggregation	genomics	gene-transcription factor associations from low-throughput or high-throughput transcription factor functional studies	transcription factor	gene
ClinVar	ClinVar SNP-Phenotype Associations	SNP-phenotype associations curated by ClinVar users from various sources	genetic association	disease or phenotype associations	gene-phenotype associations by crowd-sourced curation	phenotype	disease, phenotype or trait
Combined Pathways	Combined Pathways	sets of proteins participating in pathways aggregated from the following pathway databases: Biocarta, HumanCyc, KEGG, NCI-Nature, Panther, Reactome, and Wikipathways	data aggregation	structural or functional annotations	gene-pathway associations from curated pathways	pathway	functional term, phrase or reference
Comparative Toxicogenomics Database	CTD Gene-Chemical Interactions	chemical-gene interactions curated from literature	literature curation	physical interactions	gene-chemical associations by manual literature curation	chemical	chemical
Comparative Toxicogenomics Database	CTD Gene-Disease Associations	disease-gene interactions curated from literature	literature curation	disease or phenotype associations	gene-disease associations by manual literature curation	disease	disease, phenotype or trait
COMPARTMENTS	COMPARTMENTS Curated Protein Localization Evidence Scores	protein subcellular localization evidence scores by manual literature curation	literature curation	structural or functional annotations	gene-cellular component associations by integrating evidence from manual literature curation	cellular component	functional term, phrase or reference
COMPARTMENTS	COMPARTMENTS Experimental Protein Localization Evidence Scores	protein subcellular localization evidence scores by integrating experimental data	data aggregation	proteomics	gene-cellular component associations by integrating evidence from experimental studies	cellular component	functional term, phrase or reference
COMPARTMENTS	COMPARTMENTS Text-mining Protein Localization Evidence Scores	gene-cellular compartment co-occurrence scores from text-mining biomedical abstracts	text-mining	structural or functional annotations	gene-cellular component associations from automated text-mining of biomedical literature	cellular component	functional term, phrase or reference
Connectivity Map	CMAP Signatures of Differentially Expressed Genes for Small Molecules	mRNA expression profiles for cell lines following  chemical perturbation measured by microarray	gene expression microarray	transcriptomics	gene-small molecule associations by differential expression of gene following chemical perturbation	small molecule	chemical
CORUM	CORUM Protein Complexes	proteins participating in complexes by manual literature curation	literature curation	structural or functional annotations	gene-protein complex associations from curated complexes	protein complex	functional term, phrase or reference
Database of Genotypes and Phenotypes	dbGAP Gene-Trait Associations	gene-trait associations curated from genetic association studies	genetic association	disease or phenotype associations	gene-trait associations curated from genetic association studies	trait	disease, phenotype or trait
Database of Interacting Partners	DIP Protein-Protein Interactions	protein-protein interactions from low-throughput or high-throughput studies	data aggregation	physical interactions	gene-gene associations from low-throughput or high-throughput protein-protein interaction data	gene	gene
Dephosphorylation Database	DEPOD Substrates of Phosphatases	phosphatase-substrate interactions manually curated from literature and databases of protein annotations or protein interactions	data aggregation	physical interactions	substrate-phosphatase associations from curation of literature and protein informatics databases	phosphatase	gene
DISEASES	DISEASES Curated Gene-Disease Assocation Evidence Scores	disease gene evidence scores by manual literature curation	literature curation	disease or phenotype associations	gene-disease associations by integrating evidence from manual literature curation	disease	disease, phenotype or trait
DISEASES	DISEASES Experimental Gene-Disease Assocation Evidence Scores	disease gene evidence scores by integrating experimental data (GWAS)	genetic association	disease or phenotype associations	gene-disease associations by integrating evidence from experimental studies	disease	disease, phenotype or trait
DISEASES	DISEASES Text-mining Gene-Disease Assocation Evidence Scores	gene-disease co-occurrence scores from text-mining biomedical abstracts	text-mining	disease or phenotype associations	gene-disease associations from automated text-mining of biomedical literature	disease	disease, phenotype or trait
DrugBank	DrugBank Drug Targets	targets of drugs by manual literature curation	literature curation	physical interactions	gene-drug associations by manual literature curation	drug	chemical
Encyclopedia of DNA Elements	ENCODE Histone Modification Site Profiles	histone modification profiles for cell lines measured by ChIP-seq	histone modification ChIP-seq	genomics	gene-histone modification site profile associations by modification of histone near gene in cell line	histone modification site profile	molecular profile
Encyclopedia of DNA Elements	ENCODE Transcription Factor Binding Site Profiles	transcription factor binding site profiles for cell lines measured by ChIP-seq	transcription factor ChIP-seq	genomics	gene-transcription factor binding site profile associations by binding of transcription factor near transcription start site of gene in cell line	transcription factor binding site profile	molecular profile
Encyclopedia of DNA Elements	ENCODE Transcription Factor Targets	target genes of transcription factors from ChIP-seq transcription factor binding site profiles	transcription factor ChIP-seq	genomics	gene-transcription factor associations by binding of transcription factor near transcription start site of gene	transcription factor	gene
ESCAPE	ESCAPE Omics Signatures of Genes and Proteins for Stem Cells	sets of target genes of transcription factors from published ChIP-chip, ChIP-seq, and other transcription factor binding site profiling studies;sets of differentially expressed genes following perturbation of a protein from gene expression data in GEO; sets of interacting proteins from high- and low-throughput protein-protein interaction studies; sets of targets of microRNAs from public databases, computationally predicted or experimentally verified	data aggregation	omics	gene-gene associations from studies profiling targets of transcription factors, differentially expressed genes after gene perturbation, protein-protein interactions, or targets of microRNAs	gene	gene
Gene Expression Omnibus	GEO Signatures of Differentially Expressed Genes for Diseases	mRNA expression profiles for cell lines or tissues following disease perturbation measured by microarray	gene expression microarray	transcriptomics	gene-disease associations by differential expression of gene following disease perturbation	disease	disease, phenotype or trait
Gene Expression Omnibus	GEO Signatures of Differentially Expressed Genes for Gene Perturbations	mRNA expression profiles for cell lines or tissues following genetic perturbation (knockdown, knockout, over-expression, mutation) measured by microarray	gene expression microarray	transcriptomics	gene-gene associations by differential expression of gene A following perturbation of gene B	gene	gene
Gene Expression Omnibus	GEO Signatures of Differentially Expressed Genes for Kinase Perturbations	mRNA expression profiles for cell lines or tissues following kinase perturbation (inhibition, activation, knockdown, knockout, over-expression, mutation) measured by microarray	gene expression microarray	transcriptomics	gene-kinase associations by differential expression of gene following perturbation of kinase	kinase	gene
