GeneSym	GeneID	GrantCount	WeightSum	CumulProbCounts	CumulProbWeightSum
A1BG	1	23	1.894102	0.601872	0.135582
A1BG-AS1	503538	3	0.000000	0.150657	0.000349
A1CF	29974	80	1.975074	0.887713	0.141363
A2M	2	105	30.431731	0.922030	0.936340
A2ML1	144568	18	0.000000	0.533185	0.000349
A2MP1	3	6	2.894334	0.319738	0.206996
A3GALT2	127550	3	2.995112	0.150657	0.214191
A4GALT	53947	21	4.263063	0.576985	0.304718
A4GNT	51146	19	0.918574	0.547785	0.065933
AAA1	100329167	3	1.990224	0.150657	0.142445
AAAS	8086	19	1.023275	0.547785	0.073408
AACS	65985	13	1.265857	0.450034	0.090728
AACSP1	729522	3	0.000000	0.150657	0.000349
AADAC	13	17	1.714656	0.518585	0.122770
AADACL2	344752	3	0.000000	0.150657	0.000349
AADACL2-AS1	101928142	4	0.003500	0.210647	0.000599
AADACL4	343066	4	0.000000	0.210647	0.000349
AADAT	51166	56	0.995112	0.827939	0.071397
AAED1	195827	12	0.140872	0.432283	0.010407
AAGAB	79719	32	1.007275	0.695842	0.072266
AAK1	22848	31	3.935732	0.686418	0.281348
AAMDC	28971	16	0.000000	0.503287	0.000349
AAMP	14	41	0.000000	0.759352	0.000349
AANAT	15	41	12.634540	0.759352	0.868658
AAR2	25980	21	0.000000	0.576985	0.000349
AARD	441376	9	0.000000	0.376630	0.000349
AARS	16	27	2.998037	0.648368	0.214400
AARS2	57505	34	0.499288	0.711184	0.035997
AARSD1	80755	15	1.615618	0.485536	0.115699
AASDH	132949	6	0.285265	0.319738	0.020717
AASDHPPT	60496	27	2.401935	0.648368	0.171840
AASS	10157	22	0.003468	0.590082	0.000597
AASTH10	544603	8	1.878677	0.357666	0.134481
AASTH11	544584	8	1.878677	0.357666	0.134481
AASTH12	544579	8	1.878677	0.357666	0.134481
AASTH13	544583	8	1.878677	0.357666	0.134481
AASTH17	544573	2	0.884711	0.090667	0.063515
AASTH18	544595	8	1.387321	0.357666	0.099400
AASTH19	544589	8	1.387321	0.357666	0.099400
AASTH20	544565	8	1.387321	0.357666	0.099400
AASTH21	544569	8	1.387321	0.357666	0.099400
AASTH22	544602	8	1.387321	0.357666	0.099400
AASTH23	544580	8	1.387321	0.357666	0.099400
AASTH24	544600	8	1.387321	0.357666	0.099400
AASTH25	544570	8	1.387321	0.357666	0.099400
AASTH26	544576	8	1.387321	0.357666	0.099400
AASTH27	544592	6	1.413957	0.319738	0.101301
AASTH28	553147	6	1.508990	0.319738	0.108086
AASTH29	553142	6	1.508990	0.319738	0.108086
AASTH31	544561	1	0.001221	0.030678	0.000437
AASTH32	553145	6	1.508990	0.319738	0.108086
AASTH4	544440	2	0.382758	0.090667	0.027677
AASTH41	553146	1	0.382758	0.030678	0.027677
AASTH42	544582	3	0.000000	0.150657	0.000350
AASTH43	544590	2	0.000000	0.090667	0.000350
AASTH44	544594	2	0.000000	0.090667	0.000350
AASTH45	544599	2	0.000000	0.090667	0.000350
AASTH46	544601	2	0.000000	0.090667	0.000350
AASTH47	544571	2	0.000000	0.090667	0.000350
AASTH48	544563	2	0.000000	0.090667	0.000350
AASTH49	544577	2	0.000000	0.090667	0.000350
AASTH5	544434	2	0.382758	0.090667	0.027677
AASTH50	544578	2	0.000000	0.090667	0.000350
AASTH51	544587	2	0.000000	0.090667	0.000350
AASTH52	544562	2	0.000000	0.090667	0.000350
AASTH53	544593	2	0.000000	0.090667	0.000350
AASTH54	544586	2	0.382758	0.090667	0.027677
AASTH56	553144	6	1.508990	0.319738	0.108086
AASTH6	544423	2	0.382758	0.090667	0.027677
AASTH8	544591	8	1.878677	0.357666	0.134481
AASTH9	544568	8	1.878677	0.357666	0.134481
AAT2	252843	2	0.786823	0.090667	0.056526
AATF	26574	36	1.764882	0.726527	0.126356
AATK	9625	19	3.104475	0.547785	0.221999
AATK-AS1	388428	3	0.000000	0.150657	0.000349
AAVS1	17	2	2.000000	0.090667	0.143143
ABAT	18	50	0.684492	0.804759	0.049220
ABCA1	19	420	129.486623	0.994166	0.988488
ABCA10	10349	14	0.000000	0.467785	0.000349
ABCA11P	79963	3	0.000000	0.150657	0.000349
ABCA12	26154	8	1.569283	0.357666	0.112391
ABCA13	154664	8	0.000000	0.357666	0.000349
ABCA17P	650655	2	0.000002	0.090667	0.000350
ABCA2	20	39	7.062178	0.746917	0.504566
ABCA3	21	32	20.855980	0.695842	0.907792
ABCA4	24	143	32.696649	0.951940	0.940875
ABCA5	23461	19	2.028489	0.547785	0.145177
ABCA6	23460	15	0.000000	0.485536	0.000349
ABCA7	10347	132	18.981005	0.945092	0.898867
ABCA8	10351	83	0.000000	0.892807	0.000349
ABCA9	10350	24	0.000000	0.613662	0.000349
ABCB1	5243	642	229.622151	0.997618	0.995038
ABCB10	23456	97	7.568822	0.912796	0.540739
ABCB10P1	56476	1	0.000000	0.030678	0.000349
ABCB11	8647	141	22.078777	0.950777	0.913612
ABCB4	5244	41	8.332156	0.759352	0.595238
ABCB5	340273	60	18.465388	0.841056	0.896413
ABCB6	10058	61	12.044093	0.844040	0.860259
ABCB7	22	25	2.080414	0.625452	0.148884
ABCB8	11194	33	4.578311	0.703513	0.327226
ABCB9	23457	21	0.893728	0.576985	0.064159
ABCC1	4363	136	45.135620	0.947715	0.957922
